Index,Date,ClockTime,RawTime,TraceSampID,Voltage_L1_N:REAL,Voltage_L2_N:REAL,Voltage_L3_N:REAL,Current_L1:REAL,Current_L2:REAL,Current_L3:REAL,Total_Active_Power:REAL,Total_Consumed_Energy:REAL,InvOutCurrent_Real:REAL,Machine.IMotor:REAL,KesmeZamani_s:INT,KesilenAlan_m2:REAL,AutoPar.SawDiameter:REAL,AutoPar.SawThickness:REAL,AutoPar.SawTooth:DINT,Malzeme.D_H1:REAL,Malzeme.W1:REAL,Z_Kafa_HMI:LREAL,Kafa.Act.Pos:LREAL,Kafa.Act.Trq:LREAL,Kafa.Act.Vel:LREAL,CurrentF:REAL,CurrentS:REAL,AutoPar.FeedRate1:REAL,AutoPar.FeedRate2:REAL,AutoPar.PeripSpeed:REAL,KafaCurrent_1_abs:LREAL,Z_Accelerometer:REAL,X_Accelerometer:REAL,Y_Accelerometer:REAL,KesmeZamani_min:INT
58,2026-02-17,01:14:01,1771290840505962880,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"69,7444763","107,292297",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000003","0,8",0,"2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","46,7904816","48,6920586","43,9619102",0
59,2026-02-17,01:14:01,1771290840605966059,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"56,4459915","86,8461533",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999997","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","48,2507896","48,6380997","44,4952393",0
60,2026-02-17,01:14:01,1771290840705964450,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"30,3135891","46,6307716",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","-0,0002554484695","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,9301605","48,7999992","44,3396797",0
61,2026-02-17,01:14:01,1771290840805965480,,"228,399994","228,399994","228,699997","2,9000001","3,72000003","2,98000002",1472,19400,"21,9512196","33,7692299",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","0,00008514950878","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,9650803","48,5777817","44,5682602",0
62,2026-02-17,01:14:01,1771290840905966275,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"23,9837399","36,8923111",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","-0,0001702989607","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,4000015","48,6825409","44,9587288",0
63,2026-02-17,01:14:01,1771290841005967720,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"26,0162601","40,0307693",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8","-0,0002554484695","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,3174591","48,2666702","45,0222206",0
64,2026-02-17,01:14:01,1771290841105967990,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"27,2357693","41,9076881",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999995","0,8","-0,0002554484695","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,5460281","48,6127014","44,4888916",0
65,2026-02-17,01:14:01,1771290841205969262,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"27,8164902","42,7999992",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000005","0,8","0,0002554484695","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6031799","48,8031807","44,7079391",0
66,2026-02-17,01:14:01,1771290841305970679,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"28,1649208","43,3230782",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8","-0,0002554484695","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6793709","48,920639","44,7904816",0
67,2026-02-17,01:14:01,1771290841405971408,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"28,3972092","43,6923103",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999997","0,8","-0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,771431","48,5746002","44,8539696",0
68,2026-02-17,01:14:02,1771290841505971963,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"28,5133591","43,8615417",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000007","0,8","0,0005108969674","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,6380997","48,8095207","44,60952",0
69,2026-02-17,01:14:02,1771290841605972753,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"28,6875706","44,1384583",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999995","0,8","-0,0002554484695","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7904816","48,6761894","44,6634903",0
70,2026-02-17,01:14:02,1771290841705976045,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"28,8037205","44,3076897",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104",485,"0,8",0,"2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,8158684","48,831749","44,8634911",0
71,2026-02-17,01:14:02,1771290841805974876,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19400,"28,8617897","44,4000015",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999991","0,8","-0,0003405979783","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,8031807","48,8190498","44,8254013",0
72,2026-02-17,01:14:02,1771290841905975686,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"28,8617897","44,4000015",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000002","0,8","-0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,1111107","48,6222191","44,8285713",0
73,2026-02-17,01:14:02,1771290842005976780,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"28,9198608","44,4923096",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000007","0,8","0,0001702989891","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7523804","48,9492111","44,7999992",0
74,2026-02-17,01:14:02,1771290842105978732,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"28,9198608","44,4923096",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","485,0000003","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,9904785","48,1873016","44,6285706",0
75,2026-02-17,01:14:02,1771290842205979275,,"228,199997","228,399994","228,699997","6,11999989","7,17999983","6,28000021",2896,19403,"29,9651604","46,1076889",0,"2,20988393","899,999878","4,19999981",60,292,115,"35,00006104","484,9999997","0,8","0,00008514948036","2,87363195",125,"0,0649999976","2,87363195",125,"0,0328","47,7015915","48,7142906","44,7111092",0
